command,mean,stddev,median,user,system,min,max
./main < ./46000.txt,0.011734949630275238,0.002120064949978125,0.010794020300000002,0.011228137981651372,0.0010124800917431197,0.009492684300000002,0.0178178233
./main < ./88000.txt,0.01937011137086614,0.00011304306602684172,0.0193511383,0.01871161511811023,0.0011552023622047247,0.019183028300000002,0.0198442073
./main < ./6900.txt,0.00875160715407066,0.003838689591801186,0.010944073300000003,0.006831664761904757,0.0021786203686635975,0.0003605903000000006,0.012314872300000002
./main < ./6000.txt,0.007567756598578201,0.00390896281128371,0.0100422943,0.005716632227488159,0.002220114976303317,0.00009675530000000012,0.010475759300000002
./main < ./32000.txt,0.014169691080000013,0.004780196258953346,0.014791253300000001,0.013083740000000012,0.0014932561999999993,0.006306341300000001,0.0250019603
./main < ./2200.txt,0.006563602094982078,0.002416413347187274,0.0076049413,0.004577958853046596,0.0022410607885304645,0,0.008362496300000001
./main < ./370000.txt,0.09475651320999993,0.0008394045729008573,0.09458295280000001,0.09064272000000002,0.0042342078,0.0933281313,0.09751917030000001
./main < ./75000.txt,0.016905527307092206,0.0006047528040004386,0.0166370643,0.016096191205673755,0.00126448170212766,0.0164541933,0.0183490303
./main < ./23.txt,0.005133823847705152,0.002003230183020799,0.006001386300000001,0.0032777630598052857,0.002146896828929069,0,0.0070142223
./main < ./63.txt,0.005288770388435376,0.0018894626956146511,0.0060265908,0.0032801840816326536,0.0022715240136054423,0,0.006467889300000001
./main < ./1500.txt,0.006104824198888884,0.0021109613657976497,0.006949022800000001,0.004254213185185189,0.002203297777777778,0,0.007973921300000002
./main < ./150000.txt,0.03684076943000001,0.00025993279663901354,0.03679491880000001,0.035350940000000004,0.0018732858000000002,0.0363879313,0.037998903300000005
./main < ./4700.txt,0.007101533125730187,0.003343031726401367,0.009004698300000002,0.0053618426147427015,0.0021141952433936027,0,0.0095356183
./main < ./10.txt,0.004443575651097179,0.0026120413871402624,0.005988074300000001,0.0027787900940438874,0.0020319956112852663,0,0.007060170300000001
./main < ./1900.txt,0.005667386447126438,0.0028295710914747777,0.0073279523,0.00434016766283525,0.001717699616858238,0,0.0078729643
./main < ./57.txt,0.005287169733447101,0.001869171732244906,0.0060196943000000004,0.003374651467576793,0.0021954969283276443,0,0.006990797300000001
./main < ./220000.txt,0.05529174458999999,0.00032895570572310135,0.0552461803,0.052797899999999974,0.0027222444,0.05471726030000001,0.05635721130000001
./main < ./9300.txt,0.009367955310016692,0.0044390962412193405,0.0122766923,0.007293700434056765,0.002354547813021702,0.0007745483000000004,0.0127977523
./main < ./160000.txt,0.03651035872000003,0.00031226283668145236,0.0364619778,0.03484037,0.0020592776000000006,0.0359405153,0.03771694230000001
./main < ./820.txt,0.005731762833936026,0.0020963962391919518,0.0065347143,0.0038533555493741327,0.0022492448400556328,0,0.0077111163
./main < ./89.txt,0.00589575360204082,0.0009883567776382627,0.0060488343,0.0037985470748299315,0.002321477210884353,0,0.0070366163
./main < ./290000.txt,0.07381832456000002,0.0005567434974579491,0.0737573858,0.070613,0.003416685,0.07264446930000001,0.0757512463
./main < ./16.txt,0.005116572787482609,0.0020776107045930993,0.0059973473000000015,0.003188597329624481,0.002205740973574409,0,0.0077449403
./main < ./250000.txt,0.06303919068,0.0004121636655663938,0.06304174180000001,0.06067600999999998,0.0026807122000000005,0.06226710930000001,0.0642230433
./main < ./8600.txt,0.009823982600000005,0.0040898870186696894,0.0121526543,0.007839534333333327,0.0022661403666666665,0.0007438303000000005,0.012524539300000002
./main < ./96000.txt,0.021639099679310346,0.0002487092836647938,0.0215885983,0.02074286172413792,0.001357091724137931,0.0212770683,0.0234784603
./main < ./210000.txt,0.05291005479000001,0.00053174443152922,0.052846994800000005,0.05070510999999999,0.0024856792,0.05213382230000001,0.05655338330000001
./main < ./230000.txt,0.05606512381000003,0.0004310534009967192,0.056039983800000005,0.05361614999999999,0.002724198600000001,0.05512093330000001,0.05786429530000001
./main < ./36000.txt,0.012533228612252955,0.00458250806751249,0.011164314300000002,0.011656959209486163,0.0013204030830039522,0.006256501300000001,0.022257067300000002
./main < ./29000.txt,0.010913175153333333,0.0044174574159988106,0.009947322800000002,0.009955353333333332,0.0013968778666666674,0.0056798203,0.020593261300000002
./main < ./5000.txt,0.008005572577727271,0.003131940247533081,0.009482127800000002,0.005735071454545456,0.002539238818181818,0,0.010453085300000001
./main < ./300.txt,0.005973556677586211,0.0011724720391904438,0.0062007883,0.0036245717241379307,0.002602269793103449,0,0.007171627300000001
./main < ./94000.txt,0.020807455516666667,0.00013809480561167916,0.0207800658,0.019922009999999993,0.0013244189999999999,0.020537735300000002,0.021365587300000002
./main < ./830000.txt,0.22447903094000007,0.0017335118982246462,0.22423794080000004,0.21634676000000003,0.0080880736,0.22164237930000003,0.23287092530000003
./main < ./770.txt,0.005612152809179416,0.002115081077814093,0.0064996153,0.0037240994714881795,0.0022433850625869275,0,0.0075172883
./main < ./1100.txt,0.005500737529454543,0.0024829404709070446,0.0067188403,0.003674546181818183,0.0022285120727272723,0,0.0078817763
./main < ./740.txt,0.006007734192526688,0.00169044462379316,0.006490342300000001,0.0038122797153024887,0.00249182049822064,0,0.007477213300000001
./main < ./7800.txt,0.00858474257604167,0.004035336965560101,0.0112643353,0.006919966041666666,0.001934691666666667,0.0004773193,0.0116915433
./main < ./19000.txt,0.010546857147665848,0.0059534999115540815,0.009631065300000002,0.009442539459459463,0.0015285103685503682,0.0031914153,0.020753829300000002
./main < ./1000.txt,0.006068562069123784,0.001749703125828917,0.006612682300000001,0.003984530069541032,0.002416962197496524,0,0.007634844300000001
./main < ./68000.txt,0.014730787318633549,0.0009919513871129442,0.014318850300000002,0.014124174906832298,0.0010801467080745345,0.0137671673,0.0171273803
./main < ./68.txt,0.005512729337413075,0.0016552567656987936,0.0060378873,0.0033518655910987475,0.0024228571905424196,0,0.007025679300000001
./main < ./12000.txt,0.01110118071242938,0.005031967562436058,0.0147585583,0.009022552090395486,0.002339443107344633,0.0015145413,0.0156309073
./main < ./29.txt,0.005341001870322577,0.0018689805845560259,0.006008336800000001,0.003386892709677418,0.00226500393548387,0,0.007098314300000001
./main < ./98.txt,0.005608042015410958,0.0016673480805975392,0.006065453300000001,0.0035109082191780825,0.002409728082191782,0,0.0072261633
./main < ./920000.txt,0.29181391001999996,0.0012314755046676587,0.2916638128,0.2818401299999999,0.009886291799999995,0.2889926263,0.29512104029999997
./main < ./540000.txt,0.14960125874,0.0015957127632407597,0.1494401488,0.14438818999999994,0.005287387200000001,0.1470459493,0.1577218693
./main < ./9000.txt,0.009382917665733107,0.004334117467897448,0.012090459300000002,0.007298988665568359,0.0023794238220757823,0.0007241183000000007,0.012750566300000002
./main < ./91000.txt,0.020440346828925624,0.0001177041889985281,0.0204282763,0.0196598905785124,0.001265303305785124,0.0202154083,0.0210330983
./main < ./600000.txt,0.17076756422000003,0.0010902508168844206,0.17054850030000002,0.16431810000000005,0.006482044799999999,0.16849126330000003,0.17539541130000003
./main < ./270000.txt,0.06757486730000001,0.0004298987217700413,0.0675243808,0.0647652,0.0030488655999999993,0.06674791930000001,0.07021792030000001
./main < ./24000.txt,0.010162495335156254,0.004964301408659215,0.008664823800000002,0.00927184125,0.0013561460937499996,0.004562656300000001,0.0250820353
./main < ./4500.txt,0.007007073208049542,0.0034749416772184216,0.0090503303,0.005376229349845195,0.00197856,0,0.010257016300000001
./main < ./20.txt,0.005196089673437497,0.001986309451023927,0.0059929728,0.003359480156250001,0.002150883671874999,0,0.007147456300000001
./main < ./24.txt,0.004697278167965369,0.0023580864067067877,0.0059814133,0.002926638354978353,0.002158933203463203,0,0.007235387300000001
./main < ./37.txt,0.005063947629251699,0.0021156374290189107,0.0059990728000000005,0.003085975238095239,0.002291034829931972,0,0.0072215733
./main < ./460.txt,0.004796237750519033,0.0025309616367781168,0.0062674933,0.0029835021453287207,0.0021829042214532874,0,0.007410577300000001
./main < ./67000.txt,0.014843874361728392,0.0006131317944313479,0.014496368300000001,0.014354226666666671,0.0010093709876543208,0.014331326299999999,0.0166767233
./main < ./25000.txt,0.010936397979611651,0.004831808831271417,0.009840185300000002,0.009790200776699025,0.0015425257605177999,0.0047016333,0.0256863643
./main < ./1300.txt,0.006187873152710842,0.0019298118326149477,0.0068413658000000006,0.0042884918072289184,0.002208387469879518,0,0.007996616300000002
./main < ./3400.txt,0.0068215599029661025,0.0030460983252447536,0.008452456300000001,0.00504863847457627,0.002060082033898306,0,0.0089171823
./main < ./54.txt,0.005112937503401358,0.002003394305394427,0.0060052528,0.0031649285714285737,0.0022408736054421756,0,0.0063609343
./main < ./91.txt,0.0055490605738983045,0.001632994606014383,0.0060408893,0.003611192542372881,0.0022349699661016954,0,0.0071686003
./main < ./4000.txt,0.007010701606815029,0.0032630205966185416,0.0087204793,0.00508234520166899,0.002261074242002783,0,0.0100553393
./main < ./44.txt,0.005222310156655291,0.0019349244214563817,0.0059976703000000015,0.003207170238907848,0.0022861893515358366,0,0.0071071083000000005
./main < ./280000.txt,0.06993690611000003,0.000558456444381047,0.0698498728,0.06687407000000001,0.0032567832000000014,0.0690452423,0.0719618803
./main < ./390.txt,0.005390296432545205,0.0020421519182304173,0.006224852300000001,0.003459503031988879,0.0022539690959666203,0,0.007440769300000001
./main < ./33.txt,0.00531122603993174,0.00186409762895531,0.0060074183,0.0033844641638225265,0.0022034401365187708,0,0.006622573300000001
